Country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14656,98928,190528,282128,388384,494640,648528,831728,1124848,1454608,1839179,2253063,2743861,3432455,4139191,4977742,5984658,7075817,8357682,9581072,10522304,12192701,14086633,15617799,17255042,19170720,21295245,23279471,25666216,27821636,30056540,31813562,33792934,35888474,38408565,41230980,44732874,47866946,50981106,53838190,56603078,59205485,61631971,63013493,64347330,65629819,66860958,68026093,69110567,70140029,70949598,71717793,72529867,73593942,74781013,75722468,77042718,78685964,80954308,85152637,91912951,100365175,112591192,123333249,133333663,143122849,153230277,165488185,178502925
Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21984,58624,106256,153888,234496,366400,663184,959968,1439952,3238976,5671872,9009776,13267344,18045200,24094464,29612448,31942752,35852240,41678000,49573920,58488432,68747632,80465104,93395360,106798272,122183408,139594736,156460128,174413728,194019792,213570896,233176960,256428704,281772592,306500928,331947408,359998992,387984624,411958176,441006368,471637408,503818320,538256256,572093296,606864656,642672928,676374400,705843952,732473904,760976160,793516144,829430672,868455936,910302480,954325440,1001184336,1050835200,1104868208,1163697392,1223823632,1290471792,1358002976,1426171696,1494124240,1565869024,1643223392,1738164960,1839368304,1949793936,2061872032,2179512080,2309041808,2444302032,2586054864,2734824256,2882665399,3039232467,3201226721,3367561508,3543896251,3737535480,3951169761,4172251736,4409296748,4666578852,4944494661,5247118415,5578986587,5930864378,6308876953,6697285297,7084592465,7504779055,7937798099,8400306507,8899345945,9435008665,9983549771,10555231206,11149714412,11798923169,12464569744,13154157563,13843743194,14568340496,15266086644,15923936796,16610791075,17280348214,17989891459,18710122956,19485633617,20279206383,21091886368,21927216344,22755551690,23640083267,24519201998,25403353837,26365325805,27398417645,28442492860,29526291008,30652623962,31830766884,33019042498,34212826270,35411199285,36645041459,37895685023,39186174236,40475177493,41785833882,43117573841
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328,14656,32976,161216,458000,806080,1238432,1930928,2557472,3301264,3762928,3916816,4037728,4521376,5448368,6151856,7166784,7463568,7866608,8240336,8654368,9156336,9819520,10658576,12164480,13366272,14809888,16832416,19111424,21573632,23654784,25669984,27842736,30392880,33071264,36141696,39384336,43125280,47474448,53113344,58400496,62742336,67333328,72279728,77995568,84484512,92065328,97231568,104566896,111869248,119494032,127313008,135186944,143236752,150674672,157995344,166972144,172482800,176766016,179279520,181613488,183537088,185621904,187637104,189179648,190931040,193913536,196932672,200153328,203901600,208192144,212354448,216604688,220499520,224423664,228794816,233169632,237764288,243000144,247906240,252966224,258678400,264626124,270898982,277278189
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,10992,29312,47632,69616,95264,120912,135568,164880,197856,238160,296784,370064,450672,534944,633872,747456,868368,1007600,1139504,1190800,1260416,1293392,1454608,1692768,2004208,2502512,2971504,3469808,4085360,4847472,5591264,6393680,7302352,11087264,15220256,19111424,23112512,27267488,31876800,36874496,42414464,47632000,53289017,59440258,65496175,71157183,76576337,82219382,88807916,97228778,105660364,114710602,125973568,141032528,159682059,188004699,226282100,258158760,290159967,329291037,371135950,433591216,479136768,545553235,591895222,631068251,683572166,754518696,827127764,903208153,987091655,1070799688,1150607954,1227344595,1306149946,1386031717,1467974158,1554120833,1649102794,1745888914,1832893260,1939514090,2031182001,2118624684,2202405358,2291812079,2382860272,2470713375,2577186565,2677387726,2785787700,2894819537,3015005401,3132819477,3252626365,3380736316,3513170946,3656347996,3806940494,3957318519,4107869896
Americas (other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,7328,10992,14656,18320,21984,25648,29312,32976,36640,40304,43968,47632,51296,54960,58624,62288,65952,69616,73280,76944,80608,84272,87936,91600,95264,98928,102592,106256,109920,113584,117248,120912,124576,128240,131904,135568,139232,142896,146560,150224,153888,157552,161216,164880,168544,172208,175872,179536,183200,186864,190528,194192,197856,201520,205184,208848,212512,216176,219840,223504,252816,285792,322432,370064,428688,498304,582576,688832,813408,959968,1139504,1359344,1623152,1938256,2319312,2777312,3337904,4041392,4884112,5902704,7144800,8738640,9680288,10365456,11589232,13369936,15216592,16828752,18448240,20324208,22181856,24204384,26138976,28322720,33554912,39142512,45756032,53186624,61789696,70037360,78841952,90083104,104292096,117339600,131138224,146585648,162505728,179488368,196240176,213098240,231209392,249452448,269073168,292709632,317500256,349061952,383514544,420711472,464195824,510501456,562138208,624074464,690140048,752651552,825737360,913695344,1009787408,1122158624,1218170080,1309018960,1416692928,1539458912,1671381232,1802109088,1978439088,2164643568,2337544064,2523536032,2694773072,2855428480,3025401440,3192402896,3373818528,3569278272,3759960160,3918717616,4074016256,4236331456,4420766224,4617493712,4824714896,5065494656,5299587616,5539345120,5786925264,6057456704,6305538816,6584739280,6889162720,7199415584,7594306848,7952649712,8337267120,8596125056,8912518784,9266490496,9625558832,9985568816,10365954304,10774373056,11223279008,11684404400,12139568464,12619700279,13110767380,13610105366,14141338876,14676534040,15264001559,15876411904,16513466966,17202440666,17938791516,18716543170,19577194050,20474239932,21425741192,22430167407,23476655535,24538461404,25644500721,26780676071,27977569203,29255379311,30575202005,31872421745,33178160301,34436668651,35726453419,37039541856,38354714082,39741104420,41175124958,42676170902,44139315940,45610299952,47114212624,48656871827,50253627689,51873213217,53561428365,55328368455,57177221097,59067565309,60974588046,62905083846,64857939638,66861915212,68873832710,70950783125,73065649503,75233665397,77460245651,79617865087,81871783973,84166563311,86541969037,88948744132,91391915488,93827469251,96242527324,98641159642
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406704,813408,1220112,1630480,2037184,2462208,2916544,3381872,3872848,4385808,4909760,5433712,5964992,6499936,7060528,7635776,8181712,8720320,9258928,9775552,10292176,10783152,11270464,11746784,12208448,12685687,13197193,13717377
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186864,436016,747456,1022256,1370336,1784368,2286336,2905552,3499120,4117712,4666658,5120370,6299495,7449218,8672132,9858288,11410754,12402569,14072105,16855199,20433115,23838495,28339025,33212689,38079084,42487896,45767938,49295449,54695257,60184448,65518805,70785579,75420749,80521284,85507145,90183259,94817099,100603128,105652433,110575243,115663928,120726805,125891849,131640232,135505828,146454131,156878956,164226805,171496411,180626189,190141250,199812768,212410314,221398681,240100613,259107043,281209450,306185554,331671559,359237062,388101534,418243679,451429495,483802609,518260251,553021380,588372383,623762311
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51296,102592,157552,223504,289456,355408,425024,494640,571584,652192,740128,835392,930656,1033248,1154160,1282400,1425296,1575520,1725744,1872304,2022528,2165424,2308320,2443888,2586784,2735961,2888033,3040078
Antarctic Fisheries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,10992,18320,29312,43968,58624,73280,87936,91600,95264,98928,102592,106256,109920,113584,117248,120912,128240,135568,142896,153888,153888,153888,153888,153888,153888,153888,153888,153888,153888,153888
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21984,51296,80608,117248,164880,267472,351744,443344,593568,941648,1505904,2495184,3751936,4213600,4638624,5012352,5342112,5770800,6477952,6880992,7346320,7837296,8244000,8386896,8493152,8786272,8870544,9017104,9266256,9515408,9790208,10076000,10361792,10643920,10911392,11175200,11446336,11713808,11988608,12281728,12589504,12908272,13238032,13582448,13930528,14300592,14703632,15124992,15553680,15997024,16466016,16946000,17455296,17979248,18492208,19016160,19540112,20071392,20626024,21191421,21756717
